hour,day_of_week,is_weekend,is_festival,weather,zone_type,is_lunch_time,is_dinner_time,distance_km,estimated_time_min,app_name,expected_payout,fuel_cost,time_cost,net_profit,best_app
19,0,0,0,fog,low,0,1,14.1,52,Blinkit,175.99,70.5,78.0,27.49,Blinkit
19,1,0,0,rain,busy,0,1,1.4,22,Zomato,115.19,7.0,33.0,75.19,Blinkit
10,6,1,0,fog,normal,0,0,6.0,16,Swiggy,115.63,30.0,24.0,61.63,Swiggy
21,3,0,0,clear,busy,0,1,1.6,11,Swiggy,64.52,8.0,16.5,40.02,Blinkit
19,5,1,0,clear,normal,0,1,5.1,25,Swiggy,111.1,25.5,37.5,48.1,Swiggy
16,2,0,0,clear,normal,0,0,5.3,26,Swiggy,100.17,26.5,39.0,34.67,Zomato
11,5,1,0,clear,busy,0,0,1.1,18,Zomato,58.75,5.5,27.0,26.25,Blinkit
15,6,1,0,fog,low,0,0,14.7,16,Blinkit,182.0,73.5,24.0,84.5,Swiggy
22,4,0,0,rain,low,0,1,12.8,23,Blinkit,202.95,64.0,34.5,104.45,Swiggy
22,6,1,0,clear,low,0,1,14.4,15,Blinkit,183.99,72.0,22.5,89.49,Swiggy
20,0,0,0,fog,low,0,1,13.9,36,Blinkit,174.05,69.5,54.0,50.55,Blinkit
22,5,1,0,clear,normal,0,1,5.6,16,Swiggy,116.38,28.0,24.0,64.38,Swiggy
17,3,0,0,clear,normal,0,0,7.5,19,Blinkit,121.72,37.5,28.5,55.72,Zomato
22,0,0,0,clear,busy,0,1,0.8,27,Zomato,73.08,4.0,40.5,28.58,Blinkit
20,2,0,0,fog,low,0,1,7.0,49,Zomato,124.96,35.0,73.5,16.46,Blinkit
9,5,1,0,clear,busy,0,0,0.7,20,Zomato,53.75,3.5,30.0,20.25,Blinkit
20,6,1,0,clear,busy,0,1,1.6,30,Swiggy,77.65,8.0,45.0,24.65,Swiggy
22,1,0,0,fog,normal,0,1,4.3,18,Swiggy,84.59,21.5,27.0,36.09,Zomato
21,2,0,0,clear,busy,0,1,1.4,22,Zomato,80.31,7.0,33.0,40.31,Blinkit
22,5,1,0,clear,low,0,1,13.3,34,Blinkit,172.99,66.5,51.0,55.49,Swiggy
23,3,0,0,fog,normal,0,0,4.1,24,Swiggy,82.47,20.5,36.0,25.97,Zomato
15,3,0,0,fog,busy,0,0,1.5,17,Swiggy,58.31,7.5,25.5,25.31,Blinkit
10,1,0,0,fog,normal,0,0,5.3,14,Swiggy,95.13,26.5,21.0,47.63,Zomato
20,1,0,0,rain,busy,0,1,1.0,30,Zomato,110.41,5.0,45.0,60.41,Blinkit
10,0,0,0,rain,low,0,0,13.0,15,Blinkit,205.02,65.0,22.5,117.52,Swiggy
15,0,0,0,fog,normal,0,0,2.4,16,Zomato,64.35,12.0,24.0,28.35,Zomato
20,2,0,0,clear,low,0,1,14.9,36,Blinkit,188.97,74.5,54.0,60.47,Blinkit
12,3,0,0,clear,normal,1,0,6.6,18,Blinkit,112.12,33.0,27.0,52.12,Zomato
15,1,0,0,fog,busy,0,0,1.2,17,Zomato,54.79,6.0,25.5,23.29,Blinkit
22,4,0,0,fog,normal,0,1,2.0,15,Zomato,78.06,10.0,22.5,45.56,Zomato
10,2,0,0,fog,low,0,0,13.2,17,Blinkit,166.95,66.0,25.5,75.45,Blinkit
21,4,0,0,clear,normal,0,1,6.2,19,Blinkit,107.87,31.0,28.5,48.37,Zomato
23,5,1,0,fog,normal,0,0,6.4,10,Blinkit,104.89,32.0,15.0,57.89,Swiggy
21,4,0,0,fog,low,0,1,12.7,27,Blinkit,162.01,63.5,40.5,58.01,Blinkit
20,5,1,0,fog,busy,0,1,0.8,37,Zomato,67.94,4.0,55.5,8.44,Swiggy
20,1,0,0,fog,busy,0,1,1.8,44,Swiggy,61.78,9.0,66.0,-13.22,Blinkit
12,5,1,0,clear,busy,1,0,0.9,28,Zomato,74.26,4.5,42.0,27.76,Zomato
21,3,0,0,clear,low,0,1,13.6,42,Blinkit,176.03,68.0,63.0,45.03,Blinkit
23,2,0,0,clear,normal,0,0,5.7,25,Swiggy,104.53,28.5,37.5,38.53,Zomato
18,6,1,0,clear,busy,0,0,1.7,39,Swiggy,78.61,8.5,58.5,11.61,Blinkit
18,6,1,0,rain,normal,0,0,2.4,20,Zomato,104.24,12.0,30.0,62.24,Swiggy
11,3,0,0,rain,busy,0,0,1.6,31,Zomato,99.51,8.0,46.5,45.01,Blinkit
20,2,0,0,rain,busy,0,1,1.6,13,Zomato,117.65,8.0,19.5,90.15,Blinkit
21,3,0,0,rain,normal,0,1,6.4,28,Swiggy,146.9,32.0,42.0,72.9,Swiggy
12,1,0,0,clear,normal,1,0,5.8,19,Swiggy,105.58,29.0,28.5,48.08,Zomato
23,4,0,1,fog,normal,0,0,7.3,42,Blinkit,154.57,36.5,63.0,55.07,Zomato
10,1,0,0,fog,normal,0,0,4.8,23,Swiggy,89.92,24.0,34.5,31.42,Zomato
21,2,0,0,rain,busy,0,1,0.9,39,Zomato,109.3,4.5,58.5,46.3,Blinkit
10,4,0,0,rain,normal,0,0,6.3,25,Swiggy,145.83,31.5,37.5,76.83,Swiggy
23,2,0,0,fog,low,0,0,12.6,15,Blinkit,161.01,63.0,22.5,75.51,Blinkit
8,4,0,0,clear,normal,0,0,5.4,15,Swiggy,101.21,27.0,22.5,51.71,Zomato
17,0,0,0,clear,low,0,0,12.7,15,Blinkit,167.01,63.5,22.5,81.01,Blinkit
20,4,0,0,rain,normal,0,1,5.0,15,Swiggy,131.94,25.0,22.5,84.44,Swiggy
22,4,0,0,clear,normal,0,1,5.1,18,Swiggy,98.13,25.5,27.0,45.63,Zomato
23,0,0,0,fog,normal,0,0,4.6,29,Swiggy,87.68,23.0,43.5,21.18,Zomato
23,4,0,0,fog,busy,0,0,0.6,20,Zomato,47.65,3.0,30.0,14.65,Blinkit
12,6,1,0,clear,busy,1,0,0.9,39,Zomato,74.18,4.5,58.5,11.18,Zomato
23,4,0,0,clear,busy,0,0,0.6,19,Zomato,52.71,3.0,28.5,21.21,Blinkit
23,5,1,0,clear,normal,0,0,5.8,19,Swiggy,118.56,29.0,28.5,61.06,Swiggy
22,2,0,0,clear,busy,0,1,1.6,17,Swiggy,64.54,8.0,25.5,31.04,Blinkit
10,1,0,0,rain,normal,0,0,5.1,15,Swiggy,132.99,25.5,22.5,84.99,Swiggy
8,1,0,0,fog,normal,0,0,7.4,19,Blinkit,115.68,37.0,28.5,50.18,Zomato
21,4,0,0,fog,busy,0,1,1.4,29,Zomato,75.09,7.0,43.5,24.59,Blinkit
22,4,0,0,clear,normal,0,1,4.5,22,Swiggy,91.6,22.5,33.0,36.1,Zomato
20,2,0,0,fog,low,0,1,12.6,42,Blinkit,160.96,63.0,63.0,34.96,Blinkit
10,1,0,0,fog,normal,0,0,3.4,12,Zomato,74.89,17.0,18.0,39.89,Zomato
20,1,0,0,clear,busy,0,1,0.8,38,Zomato,72.97,4.0,57.0,11.97,Blinkit
23,3,0,0,clear,busy,0,0,1.5,23,Swiggy,63.4,7.5,34.5,21.4,Blinkit
10,4,0,0,clear,busy,0,0,1.1,15,Zomato,58.51,5.5,22.5,30.51,Blinkit
23,0,0,0,clear,low,0,0,14.3,24,Blinkit,183.0,71.5,36.0,75.5,Blinkit
19,2,0,0,clear,low,0,1,13.1,37,Blinkit,170.98,65.5,55.5,49.98,Blinkit
22,1,0,0,fog,normal,0,1,5.8,24,Swiggy,100.53,29.0,36.0,35.53,Zomato
23,1,0,0,clear,low,0,0,13.7,13,Blinkit,177.01,68.5,19.5,89.01,Blinkit
9,2,0,0,clear,low,0,0,13.0,16,Blinkit,170.04,65.0,24.0,81.04,Blinkit
18,2,0,0,clear,normal,0,0,3.1,42,Zomato,76.77,15.5,63.0,-1.73,Zomato
22,6,1,0,fog,low,0,1,13.9,17,Blinkit,174.03,69.5,25.5,79.03,Swiggy
20,6,1,0,clear,normal,0,1,5.2,25,Swiggy,112.19,26.0,37.5,48.69,Swiggy
21,5,1,0,clear,low,0,1,13.1,25,Blinkit,170.97,65.5,37.5,67.97,Swiggy
18,1,0,0,fog,low,0,0,14.0,39,Blinkit,174.96,70.0,58.5,46.46,Blinkit
14,3,0,0,clear,busy,1,0,1.6,18,Zomato,82.58,8.0,27.0,47.58,Zomato
16,3,0,0,fog,busy,0,0,0.9,28,Zomato,51.2,4.5,42.0,4.7,Blinkit
22,1,0,0,fog,busy,0,1,1.3,18,Zomato,73.98,6.5,27.0,40.48,Blinkit
0,4,0,0,clear,normal,0,0,4.6,18,Swiggy,92.67,23.0,27.0,42.67,Zomato
21,1,0,0,fog,low,0,1,13.2,49,Blinkit,166.98,66.0,73.5,27.48,Blinkit
23,3,0,0,clear,low,0,0,13.6,15,Blinkit,176.01,68.0,22.5,85.51,Blinkit
23,3,0,0,clear,busy,0,0,0.5,21,Zomato,51.57,2.5,31.5,17.57,Blinkit
14,1,0,0,clear,normal,1,0,5.1,23,Swiggy,98.01,25.5,34.5,38.01,Zomato
10,6,1,0,fog,normal,0,0,4.5,11,Swiggy,99.67,22.5,16.5,60.67,Swiggy
21,3,0,0,clear,busy,0,1,1.3,25,Zomato,78.92,6.5,37.5,34.92,Blinkit
8,0,0,0,fog,busy,0,0,0.9,18,Zomato,51.3,4.5,27.0,19.8,Blinkit
9,2,0,0,clear,busy,0,0,1.7,14,Swiggy,65.68,8.5,21.0,36.18,Blinkit
17,5,1,0,clear,low,0,0,14.4,36,Blinkit,184.03,72.0,54.0,58.03,Swiggy
23,3,0,0,fog,busy,0,0,1.6,18,Swiggy,59.63,8.0,27.0,24.63,Blinkit
16,2,0,0,fog,normal,0,0,5.1,17,Swiggy,93.09,25.5,25.5,42.09,Zomato
8,5,1,0,fog,normal,0,0,6.2,28,Blinkit,102.83,31.0,42.0,29.83,Swiggy
20,4,0,1,fog,busy,0,1,1.8,44,Zomato,119.84,9.0,66.0,44.84,Zomato
23,6,1,0,clear,low,0,0,14.7,20,Blinkit,187.02,73.5,30.0,83.52,Swiggy
21,2,0,0,rain,low,0,1,14.6,19,Blinkit,221.02,73.0,28.5,119.52,Swiggy
19,3,0,0,fog,busy,0,1,1.4,35,Zomato,75.12,7.0,52.5,15.62,Blinkit
21,2,0,0,fog,normal,0,1,5.0,50,Swiggy,91.97,25.0,75.0,-8.03,Zomato
21,3,0,0,rain,busy,0,1,1.6,34,Zomato,117.41,8.0,51.0,58.41,Blinkit
19,5,1,0,clear,busy,0,1,1.5,17,Swiggy,76.35,7.5,25.5,43.35,Swiggy
14,3,0,0,fog,normal,1,0,2.2,23,Zomato,80.17,11.0,34.5,34.67,Zomato
18,2,0,0,fog,normal,0,0,5.7,27,Swiggy,99.4,28.5,40.5,30.4,Zomato
12,3,0,0,clear,normal,1,0,5.0,26,Swiggy,97.03,25.0,39.0,33.03,Zomato
23,4,0,0,clear,busy,0,0,0.7,35,Zomato,53.81,3.5,52.5,-2.19,Blinkit
12,5,1,0,clear,normal,1,0,3.7,41,Zomato,101.09,18.5,61.5,21.09,Zomato
23,0,0,0,fog,low,0,0,14.1,23,Blinkit,175.98,70.5,34.5,70.98,Blinkit
17,4,0,0,rain,busy,0,0,1.3,30,Zomato,96.1,6.5,45.0,44.6,Blinkit
10,6,1,0,clear,busy,0,0,1.0,19,Zomato,57.45,5.0,28.5,23.95,Blinkit
9,4,0,0,clear,normal,0,0,4.9,27,Swiggy,95.99,24.5,40.5,30.99,Zomato
12,4,0,0,clear,low,1,0,14.9,28,Blinkit,188.96,74.5,42.0,72.46,Zomato
17,6,1,0,fog,busy,0,0,1.3,24,Zomato,56.12,6.5,36.0,13.62,Blinkit
19,3,0,0,clear,normal,0,1,6.0,36,Blinkit,105.72,30.0,54.0,21.72,Zomato
23,6,1,0,fog,low,0,0,12.6,28,Blinkit,161.02,63.0,42.0,56.02,Swiggy
18,1,0,0,fog,normal,0,0,3.4,31,Zomato,74.98,17.0,46.5,11.48,Zomato
20,2,0,0,clear,normal,0,1,6.4,44,Blinkit,109.88,32.0,66.0,11.88,Zomato
22,0,0,0,clear,busy,0,1,1.8,15,Swiggy,66.88,9.0,22.5,35.38,Blinkit
17,3,0,0,clear,normal,0,0,5.8,33,Swiggy,105.52,29.0,49.5,27.02,Zomato
19,3,0,0,fog,normal,0,1,5.8,30,Swiggy,100.54,29.0,45.0,26.54,Zomato
18,0,0,0,rain,normal,0,0,5.2,22,Swiggy,134.16,26.0,33.0,75.16,Swiggy
23,0,0,0,fog,busy,0,0,0.8,43,Zomato,50.1,4.0,64.5,-18.4,Blinkit
17,4,0,0,fog,low,0,0,13.4,48,Blinkit,168.95,67.0,72.0,29.95,Blinkit
23,4,0,0,rain,busy,0,0,1.6,19,Zomato,99.61,8.0,28.5,63.11,Blinkit
18,0,0,0,clear,normal,0,0,3.1,21,Zomato,76.77,15.5,31.5,29.77,Zomato
21,4,0,0,clear,busy,0,1,0.6,44,Zomato,70.81,3.0,66.0,1.81,Blinkit
8,3,0,0,clear,normal,0,0,5.5,26,Swiggy,102.41,27.5,39.0,35.91,Zomato
22,4,0,0,clear,normal,0,1,6.1,26,Blinkit,106.68,30.5,39.0,37.18,Zomato
11,5,1,0,clear,busy,0,0,0.6,31,Zomato,52.57,3.0,46.5,3.07,Blinkit
23,0,0,0,rain,normal,0,0,5.1,19,Swiggy,133.02,25.5,28.5,79.02,Swiggy
19,2,0,0,clear,busy,0,1,1.3,18,Zomato,78.96,6.5,27.0,45.46,Blinkit
18,2,0,0,fog,normal,0,0,5.9,38,Swiggy,101.55,29.5,57.0,15.05,Zomato
18,1,0,0,clear,busy,0,0,1.1,32,Zomato,58.64,5.5,48.0,5.14,Blinkit
22,0,0,0,fog,normal,0,1,6.1,17,Blinkit,101.81,30.5,25.5,45.81,Zomato
19,3,0,0,fog,normal,0,1,4.3,11,Swiggy,84.57,21.5,16.5,46.57,Zomato
13,2,0,0,clear,low,1,0,14.4,31,Blinkit,183.97,72.0,46.5,65.47,Zomato
21,5,1,0,fog,busy,0,1,1.0,43,Zomato,70.38,5.0,64.5,0.88,Swiggy
17,5,1,0,clear,busy,0,0,1.7,25,Swiggy,78.71,8.5,37.5,32.71,Blinkit
19,1,0,0,clear,busy,0,1,0.9,22,Zomato,74.23,4.5,33.0,36.73,Blinkit
21,2,0,0,fog,low,0,1,14.2,43,Blinkit,177.05,71.0,64.5,41.55,Blinkit
19,3,0,1,fog,low,0,1,13.8,42,Blinkit,212.97,69.0,63.0,80.97,Zomato
19,6,1,0,rain,busy,0,1,1.4,42,Zomato,115.18,7.0,63.0,45.18,Swiggy
21,0,0,0,fog,normal,0,1,6.0,34,Swiggy,102.6,30.0,51.0,21.6,Zomato
9,1,0,0,fog,low,0,0,13.2,17,Blinkit,166.97,66.0,25.5,75.47,Blinkit
20,3,0,0,rain,normal,0,1,5.3,25,Swiggy,135.25,26.5,37.5,71.25,Swiggy
21,0,0,1,fog,low,0,1,10.3,54,Swiggy,180.0,51.5,81.0,47.5,Zomato
23,2,0,0,clear,busy,0,0,1.3,21,Zomato,61.12,6.5,31.5,23.12,Blinkit
15,4,0,0,clear,busy,0,0,0.8,34,Zomato,55.13,4.0,51.0,0.13,Blinkit
19,5,1,0,fog,low,0,1,14.0,36,Blinkit,174.97,70.0,54.0,50.97,Swiggy
17,1,0,0,clear,low,0,0,14.0,17,Blinkit,180.0,70.0,25.5,84.5,Blinkit
9,3,0,0,clear,normal,0,0,5.8,16,Swiggy,105.53,29.0,24.0,52.53,Zomato
20,2,0,0,clear,busy,0,1,1.7,27,Swiggy,65.69,8.5,40.5,16.69,Blinkit
12,3,0,0,fog,busy,1,0,1.7,26,Zomato,78.79,8.5,39.0,31.29,Zomato
21,3,0,1,fog,normal,0,1,6.4,46,Swiggy,146.86,32.0,69.0,45.86,Zomato
19,3,0,0,clear,low,0,1,14.0,29,Blinkit,179.97,70.0,43.5,66.47,Blinkit
19,2,0,0,fog,low,0,1,13.9,23,Blinkit,173.97,69.5,34.5,69.97,Blinkit
22,6,1,0,fog,normal,0,1,6.7,11,Blinkit,108.1,33.5,16.5,58.1,Swiggy
17,4,0,0,rain,normal,0,0,5.9,28,Swiggy,141.52,29.5,42.0,70.02,Swiggy
19,4,0,0,clear,busy,0,1,0.8,25,Zomato,73.04,4.0,37.5,31.54,Blinkit
10,3,0,0,fog,busy,0,0,1.1,11,Zomato,53.52,5.5,16.5,31.52,Blinkit
18,1,0,0,clear,low,0,0,14.0,26,Blinkit,179.99,70.0,39.0,70.99,Blinkit
10,0,0,0,rain,normal,0,0,5.6,23,Swiggy,138.46,28.0,34.5,75.96,Swiggy
17,4,0,0,fog,busy,0,0,0.5,39,Zomato,46.59,2.5,58.5,-14.41,Blinkit
8,6,1,0,fog,busy,0,0,0.9,11,Zomato,51.11,4.5,16.5,30.11,Blinkit
19,2,0,0,rain,normal,0,1,6.0,32,Swiggy,142.64,30.0,48.0,64.64,Swiggy
17,6,1,0,fog,busy,0,0,0.5,43,Zomato,46.55,2.5,64.5,-20.45,Blinkit
15,5,1,0,fog,busy,0,0,1.1,13,Zomato,53.51,5.5,19.5,28.51,Blinkit
9,0,0,0,clear,normal,0,0,5.3,25,Swiggy,100.19,26.5,37.5,36.19,Zomato
18,5,1,0,clear,normal,0,0,6.2,27,Blinkit,107.72,31.0,40.5,36.22,Swiggy
15,0,0,0,clear,normal,0,0,5.9,29,Swiggy,106.62,29.5,43.5,33.62,Zomato
18,1,0,0,fog,busy,0,0,1.3,33,Zomato,55.94,6.5,49.5,-0.06,Blinkit
16,3,0,0,fog,normal,0,0,6.3,19,Blinkit,103.82,31.5,28.5,43.82,Zomato
18,1,0,0,clear,busy,0,0,1.3,33,Zomato,61.07,6.5,49.5,5.07,Blinkit
19,0,0,0,fog,busy,0,1,1.6,28,Swiggy,59.65,8.0,42.0,9.65,Blinkit
18,4,0,0,clear,normal,0,0,6.5,15,Blinkit,110.96,32.5,22.5,55.96,Zomato
20,1,0,0,rain,normal,0,1,5.9,29,Swiggy,141.6,29.5,43.5,68.6,Swiggy
22,1,0,0,rain,low,0,1,13.5,18,Blinkit,209.99,67.5,27.0,115.49,Swiggy
10,6,1,0,rain,normal,0,0,5.9,14,Swiggy,154.68,29.5,21.0,104.18,Swiggy
16,6,1,0,clear,normal,0,0,5.4,30,Swiggy,114.28,27.0,45.0,42.28,Swiggy
14,6,1,0,clear,busy,1,0,0.8,28,Zomato,73.14,4.0,42.0,27.14,Zomato
20,2,0,0,fog,busy,0,1,1.8,39,Swiggy,61.88,9.0,58.5,-5.62,Blinkit
19,5,1,0,clear,busy,0,1,1.4,30,Zomato,80.25,7.0,45.0,28.25,Swiggy
18,6,1,0,fog,busy,0,0,1.4,36,Zomato,57.04,7.0,54.0,-3.96,Blinkit
23,1,0,0,fog,low,0,0,14.7,37,Blinkit,182.03,73.5,55.5,53.03,Blinkit
19,4,0,0,clear,busy,0,1,1.9,43,Swiggy,68.03,9.5,64.5,-5.97,Blinkit
23,6,1,0,clear,low,0,0,13.9,29,Blinkit,179.02,69.5,43.5,66.02,Swiggy
18,4,0,0,rain,normal,0,0,5.8,25,Swiggy,140.51,29.0,37.5,74.01,Swiggy
18,2,0,0,fog,normal,0,0,6.8,15,Blinkit,109.15,34.0,22.5,52.65,Zomato
21,2,0,0,fog,normal,0,1,5.0,24,Swiggy,92.03,25.0,36.0,31.03,Zomato
21,5,1,0,clear,normal,0,1,5.5,39,Swiggy,115.27,27.5,58.5,29.27,Swiggy
23,0,0,0,clear,normal,0,0,5.0,20,Swiggy,96.93,25.0,30.0,41.93,Zomato
11,4,0,0,fog,busy,0,0,1.2,15,Zomato,54.75,6.0,22.5,26.25,Blinkit
22,4,0,0,fog,normal,0,1,6.3,16,Blinkit,103.92,31.5,24.0,48.42,Zomato
11,5,1,0,clear,busy,0,0,1.5,19,Zomato,63.31,7.5,28.5,27.31,Blinkit
23,2,0,0,fog,busy,0,0,0.6,20,Zomato,47.64,3.0,30.0,14.64,Blinkit
21,0,0,0,clear,normal,0,1,5.9,25,Swiggy,106.55,29.5,37.5,39.55,Zomato
19,6,1,0,clear,busy,0,1,1.1,43,Zomato,76.67,5.5,64.5,6.67,Swiggy
22,4,0,0,clear,normal,0,1,7.6,15,Blinkit,122.8,38.0,22.5,62.3,Zomato
20,2,0,0,clear,normal,0,1,7.7,29,Blinkit,123.84,38.5,43.5,41.84,Zomato
12,5,1,0,rain,low,1,0,14.1,14,Blinkit,216.05,70.5,21.0,124.55,Swiggy
18,4,0,0,clear,busy,0,0,1.8,11,Swiggy,66.9,9.0,16.5,41.4,Blinkit
22,0,0,0,fog,busy,0,1,0.6,19,Zomato,65.55,3.0,28.5,34.05,Blinkit
23,4,0,0,clear,low,0,0,14.3,29,Blinkit,182.98,71.5,43.5,67.98,Blinkit
15,4,0,0,clear,normal,0,0,4.6,11,Swiggy,92.68,23.0,16.5,53.18,Zomato
11,0,0,0,clear,low,0,0,14.7,14,Blinkit,186.97,73.5,21.0,92.47,Blinkit
22,2,0,0,clear,normal,0,1,7.8,15,Blinkit,124.84,39.0,22.5,63.34,Zomato
23,2,0,0,fog,low,0,0,13.5,16,Blinkit,170.03,67.5,24.0,78.53,Blinkit
21,1,0,1,clear,normal,0,1,3.8,43,Zomato,142.14,19.0,64.5,58.64,Zomato
10,0,0,0,rain,busy,0,0,1.8,20,Swiggy,102.05,9.0,30.0,63.05,Blinkit
22,3,0,0,rain,low,0,1,13.5,26,Blinkit,210.01,67.5,39.0,103.51,Swiggy
17,6,1,0,clear,busy,0,0,1.6,26,Zomato,64.57,8.0,39.0,17.57,Blinkit
21,0,0,0,clear,normal,0,1,3.0,43,Zomato,93.69,15.0,64.5,14.19,Zomato
18,1,0,0,fog,normal,0,0,5.3,25,Swiggy,95.27,26.5,37.5,31.27,Zomato
15,0,0,0,fog,low,0,0,14.4,28,Blinkit,178.96,72.0,42.0,64.96,Blinkit
22,3,0,0,rain,normal,0,1,6.2,17,Swiggy,144.76,31.0,25.5,88.26,Swiggy
19,6,1,0,clear,normal,0,1,5.4,44,Swiggy,114.3,27.0,66.0,21.3,Swiggy
20,2,0,0,rain,busy,0,1,0.8,33,Zomato,108.17,4.0,49.5,54.67,Blinkit
18,1,0,0,clear,normal,0,0,5.7,19,Swiggy,104.45,28.5,28.5,47.45,Zomato
18,6,1,0,clear,low,0,0,14.9,15,Blinkit,189.0,74.5,22.5,92.0,Swiggy
23,5,1,0,fog,busy,0,0,1.0,27,Zomato,52.4,5.0,40.5,6.9,Blinkit
11,4,0,0,clear,normal,0,0,5.1,25,Swiggy,98.08,25.5,37.5,35.08,Zomato
13,1,0,0,clear,low,1,0,13.8,18,Blinkit,177.97,69.0,27.0,81.97,Zomato
18,1,0,0,rain,normal,0,0,6.4,21,Swiggy,147.01,32.0,31.5,83.51,Swiggy
21,4,0,0,clear,normal,0,1,6.2,53,Blinkit,107.77,31.0,79.5,-2.73,Zomato
21,5,1,0,fog,normal,0,1,6.2,42,Blinkit,102.82,31.0,63.0,8.82,Swiggy
21,0,0,0,clear,busy,0,1,1.8,20,Swiggy,66.79,9.0,30.0,27.79,Blinkit
22,2,0,0,fog,busy,0,1,1.5,29,Swiggy,58.44,7.5,43.5,7.44,Blinkit
